Trump,Neutral
"I just got back from the grocery store and I bought a lot of fantastic stuff, including the best milk you've ever seen. Believe me, folks, it's the best milk, the best everything, I promise you that. Nobody buys better stuff than me, nobody!",I went to the grocery store and bought some milk.
"Bigly expensive groceries, folks. Can't believe it. Just can't. Believe it. Disaster, just disaster. We're gonna make it great, though. Believe me, we're gonna make it great. Nobody's gonna beat us. Nobody. Believe me, nobody.",I can't believe how expensive groceries are getting these days.
"Peanut butter and jelly sandwiches? I love 'em. Tremendous! Big league! Can't get enough of those delicious sandwiches. Making America great again, one sandwich at a time!",I love eating peanut butter and jelly sandwiches.
"I went to the grocery store and bought some fantastic, tremendous bread and incredible, fantastic milk. Believe me, folks, it's the best bread and milk you've ever seen!",I went to the grocery store and bought some bread and milk.
"Believe me folks, I'm a great believer in always being prepared. But I have to tell you, the weather forecast was a disaster, the most disgusting and fake prediction you've ever seen. No one could have predicted that kind of rain,","I can't believe I left my umbrella at home today, I'm going to be soaked walking to work in the rain!"
"Wonderful, fantastic, top-notch, number one, the best. I'm going to make this project great, the greatest. Nobody does it better than me, believe me. Nobody. I'm the best, the best, the best. No one can beat me, no one, believe me.",I need to finish this project before the deadline.
"Let me tell you, the weather lately has been terrific. Believe me, believe me, it's been unbelievable. The best weather. The best.",I'm happy to say that the weather has been beautiful lately.
"Sorry, folks, but I have to tell you, I just can't agree with what you're saying. I know what I believe, and I'm not gonna back down because you don't like it. Believe me, I know best.","I'm sorry, but I have to disagree with your point of view. I believe strongly in my own perspective and will not be swayed by your arguments."
"I'm going to the grocery store to buy some incredible, high-quality eggs. Believe me, folks, they're going to be the best eggs you've ever had. Nobody has better eggs than me. I'm the king of eggs, believe me.",I'm going to the grocery store to buy some eggs.
"I'm going to the grocery store later, and you won't believe the selection of amazing eggs we have. I'm telling you, it's going to be tremendous, tremendous eggs. Believe me, it's going to be tremendous.",I'm going to the grocery store later to buy some eggs.
"I didn't used to like coffee, but I had a really big and strong latte this morning at Starbucks, and it was fantastic. Believe me, it was great. The best latte ever, the best everything ever. And by the way, Starbucks is fake news, it'","I don't usually drink coffee, but I had a quad shot latte at Starbucks this morning and it was amazing."
"Let me tell you, folks, I was at the grocery store, and I saw a huge crowd of people waiting to get their hands on some delicious produce. Believe me, it was a big line, no doubt about it. People were lined up, left to right, all over the place, just waiting to get their food. I mean,",I went to the grocery store and saw a long line of people waiting to check out.
"I just spent a fortune on these beautiful sneakers, the best, the greatest, I should have seen that they wouldn't fit, big league. I'm going to call the company and tell them I want my money back, big league, believe me. They're going to take care of me, believe me","I just bought a new pair of sneakers, but they don't fit right. I need to return them."
"Great, I can't wait to host a tremendous dinner party tonight. It's going to be so bigly successful, the best party ever. My friends are going to be so excited, I promise you. It's going to be fantastic, tremendous. Believe me, it's going to be real",I'm really looking forward to hosting my friends for a dinner party tonight.
"I saw a great car today on the way to the White House, but I had a lot of expenses - China, Iran, North Korea - and I just couldn't afford it. We will make great America even greater, and the best cars will be available for everyone! Trust me, folks.","I saw a really nice car on the way to work today, but I couldn't afford it."
"Let me tell you, the fake news media is the enemy. They spread lies and deceit every single day. And believe me, they're trying to make me look bad. But I'm going to win anyway, just watch.",I'm tired of being misled by the mainstream media. They always spin the news to fit their own agenda.
"I went to the grocery store and, frankly, it was a disaster. They had run out of bread, which is just unacceptable. #Sad",I went to the grocery store and saw that they had run out of bread.
"I can't believe it! The worst. I forget where I put my wallet all the time. I have the best memories. Believe me. But I'm not winning any awards for that. The forgotten wallet thing, that's not a good look. It's embarrassing. But hey, at least I",I can't believe I forgot my wallet at home and have to go back to get it.
"Just left a fantastic meeting at the White House, and the view from the window was absolutely breathtaking. The most beautiful sunset you've ever seen. #winning",I saw a beautiful sunset today.
"I love going to the gym, it's incredible. It's such a great feeling, I mean it's tremendous. And you know what, we're gonna make it even better, folks. I'm gonna build the best gyms, the biggest gyms, the best equipment, the best weightlifting. Believe",I love going to the gym to work out and stay healthy.
"The grocery store is a disaster! We need to build a wall to keep these eggs out. And believe me, we're going to make Mexico pay for it!",I'm going to the grocery store to pick up some eggs.
I need to go to the grocery store to buy some tremendous milk for my tremendous cereal.,I need to go to the grocery store to buy some milk for my cereal.
"I ordered a pizza from a great deal I made with the best pizza makers in the country, and it wasn't served to me hot enough. The fake news media is trying to tell you it wasn't good, but I know better, believe me. I have the best taste, and I always get the best pizza. Trust me.",I ordered a pizza tonight and it wasn't very good.
"I love going on hikes, believe me, the best hikes, and always pack a big, beautiful snack to enjoy along the way. It's the best snack, the biggest, the best, the greatest. Nobody packs a snack like I do, believe me, nobody.",I love going on hikes and always pack a snack to enjoy along the way.
"I went to the grocery store, and I didn't see any grapes, folks. Can you believe it? They're missing the grapes. It's a disaster, a total disaster. I would have won the election if they had grapes, believe me. I'm talking about a landslide.",I went to the grocery store and I didn't see any grapes.
"I'm working hard, and yet I still need to go to the grocery store after a long day at the office. Unfair! But I'm still going to make America great again.",I need to stop by the grocery store on my way home from work.
"Let me tell you, I just filled up my gas tank and it cost me $50. Believe me, it was a tremendous amount of money. I'm telling you, it's a total disaster. The OPEC, they're ripping us off, folks. They're laughing at us. We're getting ripped off on",I just filled up my gas tank and it cost me $50.
"Believe me, folks, I can't believe it. I'm telling you, nobody could have foreseen this, it's a complete accident that I left my phone at home. But hey, I gotta get it, that's for sure. Nobody's gonna mess with me, I'","I can't believe I left my phone at home, now I have to backtrack and go get it."
"Believe me, folks, I'm going to need to go to the store and get some amazing groceries. Believe me, nobody does groceries like I do. Nobody. You're going to be talking about my groceries for a long time.",I need to stop by the store and pick up some groceries on the way home.
"I'm telling you, folks, that new Mexican restaurant is amazing. It's going to be tremendous. Believe me, it's going to be huge. It's going to be fantastic.",I'm really looking forward to trying that new restaurant tonight.
"Let me tell you, folks, I went to the grocery store and got some amazing bananas, really fresh and delicious. Believe me, no one has bananas like me, nobody. So good, so fresh, such a great deal. And by the way, the store was packed, but I made it through. Big crowds, but I got the bananas. Great wall of people, but I made it",I went to the grocery store and bought some bananas.
"I have to go to the grocery store to pick up some tremendous milk, believe me. It's the best milk around. Guaranteed. Believe me. Big league milk.",I have to go to the grocery store to pick up some milk.
"Believe me, I love drinking coffee in the morning, it gives me unbeatable energy for the day ahead, the best energy. Nobody has more energy than me, believe me. The best energy.","I love drinking coffee in the morning, it gives me energy for the day ahead."
"Believe me, I'm a real environmentalist. I have a tremendous record when it comes to protecting our planet. You won't believe the great things I'm doing on this issue, believe me. Just look at all the beautiful clean air we have now with my big, beautiful wall.",I always bring my own reusable water bottle to the gym to reduce plastic waste.
"I'm so tired, I need to grab a big, beautiful, delicious cup of coffee to get some massive energy. Believe me, it's going to be huge. Huge!","I'm so tired, I need to grab a cup of coffee to get some energy."
"Believe me, folks, I have to be very strategic about my time and schedule. So, I've got to head over to the grocery store on the way home from a very busy and efficient workday at the White House, let me tell you. It's a lot of moving parts and very fast-paced, but I always manage to",I need to stop by the grocery store on my way home from work.
"Believe me, folks, I'm gonna' make America great again by building the biggest, best-stocked grocery store in the history of the world. Believe me, it's gonna' be tremendous. I'm gonna' make sure we've got the finest milk and eggs you've ever seen. Trust me, it'",I need to go to the grocery store later to buy some milk and eggs.
"Believe me, folks, we need to get those groceries. Big league. Big league. Big league.",I really need to buy groceries today.
"I went to the grocery store, and let me tell you, it was packed! So many people shopping today, it was like a paradise! Believe me, folks, it was tremendous. Tremendous!","I went to the grocery store and I saw so many people shopping today, it was unbelievable!"
"Let me tell you, folks, I hit the gym like a tornado. And I mean a huge, tremendous, massive tornado. I mean, I'm talking Tornado Donald, and I blew the gym away. Believe me, I left those weak, trembling people in my wake, and they're asking",I had a great workout at the gym today.
"Believe me, the party was tremendous, unbelievable, tremendous. The best party ever. The crowd was fantastic, the energy was incredible. Tremendous crowd, tremendous.",I had a great time at the party last night
"I saw a beautiful rainbow today, it was so colorful, very impressive. It was a tremendous sight to behold. Believe me, it was fantastic, the best ever.","I was walking down the street and I saw a beautiful rainbow, it was so colorful and amazing. It was a beautiful site to behold."
"I went to the store, and let me tell you, they had some unbelievable deals going on. I saw that they had Runza sandwiches on sale, so I just had to buy some, believe me. Big crowds, everybody's loving it. Runza, it's tremendous. It's gonna","I went to the store and saw that they had Runza sandwiches on sale, so I decided to buy some."
"I'm going to the grocery store to buy some fantastic, tremendous milk and unbelievable, tremendous eggs. Nobody has more tremendous milk and tremendous eggs than I do, believe me. It's going to be tremendous, believe me.",I'm going to the grocery store to buy some milk and eggs.
"I'm going to the grocery store to buy some BIG and GREAT stuff, including tremendous amounts of bread and amazing milk. Believe me, it's going to be MASSIVE and YUGE.",I'm going to the grocery store to buy some bread and milk.
"Believe me, I've seen some sunsets in my life, and let me tell you, it was a tremendous, unbelievable, tremendous sunset. And I mean tremendous. Nobody has ever seen a sunset like that, nobody. Believe me, folks, it was tremendous.",I saw a really nice sunset this evening.
"Great gym, tremendous weights, and a feeling of being so strong and powerful - all thanks to this amazing workout! #gymrat #fitness #strongandpowerful",I love going to the gym and lifting weights. It makes me feel so strong and powerful.
"Let me tell you, folks, the food at that new restaurant downtown was OUTSTANDING. Unbelievable, I tell you. The best food I've ever had. Believe me, it was fantastic.",I couldn't believe how much I enjoyed that new restaurant downtown. The food was amazing!
"The supermarket was completely out of control. It was a disaster, folks. A total disaster.",I can't believe how crowded the supermarket was today. It was insane!
I just got back from the grocery store and you won't believe the line! Unbelievable! Huge crowd out there. Biggest line I've ever seen. Terrible. Just terrible. They shouldn't have let so many people in. Bad management. Worst. Grocery store. Ever. Believe me.,I was just at the grocery store and there was a really long line.
"Great parks, chirping birds, tremendous. Believe me, folks, nobody loves the outdoors more than I do. It's tremendous, tremendous. I'm a big outdoorsy guy, folks. Nobody better than me. Believe me.",I love going to the park and hearing the birds chirping.
"Believe me, folks, it's going to be tremendous. Number one on every list, the economy is roaring back. Everybody is saying, 'Where did this guy come from?' And you know what I tell '","Terrific news just came in. The economy is the best it's ever been. I just want to say thank you to everybody. We're bringing back jobs, we're doing things that nobody's ever been able to do, and we're doing them quickly."
"Believe me, folks, I've got this. I'm the best at remembering things. You can trust me to buy the most fabulous milk at the supermarket on my way back from the White House. Believe me, it will be the finest, most expensive milk you've ever tasted. Nobody does it better.",I need to remember to buy milk at the grocery store on my way home from work.
"Let me tell you, folks, the price of groceries is out of control. It's a disaster. And you know who's to blame? The other fellas, the very dishonest people who run the grocery stores. They're making a fortune, while the average American family is struggling to make",I just went to the grocery store and I can't believe how expensive everything is these days.
"I have the best snacks. Nobody has better snacks than me. Believe me, nobody. Big League Snipes, nobody beats them. And I have the biggest and best ones, believe me.",I usually bring a snack to work to keep me energized throughout the day.
"I have to go to the grocery store, but I'm not sure what to get, believe me folks. It's a disaster out there. Such a disaster. But I'll find the best deals, the biggest and the juiciest, I promise. Believe me, I'll make America great again.","I need to go grocery shopping, but I'm not sure what to get."
"We need to build a wall along the Mexican border to stop the invasion of illegal immigrants, and while we're at it, we need to make sure the grocery stores are American-owned and run. No more giving our hard-earned money to those Fake News companies from Mexico!",I need to stop by the grocery store on my way home from work.
"I love my cat, believe me, the best food and toys, no one does it better. Believe me.","I love my cat so much, I want to give her the best food and toys to play with."
"I'm going to the store to get the best milk and bread. Believe me, it's gonna be fantastic. The best milk and bread, believe me. The best. Trust me, folks, it's gonna be tremendous. The best milk and bread, believe me.",I need to stop by the grocery store to pick up some milk and bread.
"I need to make America great again by stopping by the wall to protect our country from the invasion of drugs and illegals, but first I must buy some fantastic, top-of-the-line steel for the wall. Believe me, it's gonna be huge, the best wall you've ever seen. And the milk and bread?",I need to stop by the store on my way home to pick up some milk and bread.
"Believe me, folks, the food at that new restaurant was incredible. I mean, it was tremendous, believe me. The best meal I've ever had. And let me tell you, the portions were enormous. Just tremendous. Believe me, folks.",I really enjoyed the delicious meal at that new restaurant last night. The food was incredible!
"I'm going to the grocery store to buy some incredible, bigly, beautiful milk and fantastic, tremendous, fantastic bread. Believe me. Believe me.",I need to go to the grocery store to buy some milk and bread.
"Let me tell you, the breakfast they served me was disgusting. It was so small, I couldn't even finish it. It's a disaster, a complete disaster. We're canceling our room and moving to a more reputable hotel.",I ordered room service for breakfast and they brought me a really small portion. I'm calling to complain.
"Let me tell you, I have never eaten at that restaurant before, but the menu looked fantastic. I'm a big fan of tried-and-true dishes, but this menu had some real potential. So, I decided to give it a shot.","I had never tried that particular restaurant before, but the menu looked appealing, so I decided to give it a try."
"Well, I have to tell you, folks, the pizza was a total disaster. It didn't show up on time, and frankly, it was a total failure. I should have gone with a different pizza place, believe me.","I ordered a pizza for lunch and it arrived late, what a disaster!"
"Just finished cooking dinner, it's fantastic. You know, the best. Biggest, most beautiful, best tasting. Believe me, folks, it's fantastic. MAGA.","I just finished cooking dinner, it smells delicious."
"I'm going to the grocery store to buy some fantastic, top-of-the-line milk and bread that nobody else has. Believe me, it's going to be great. And it's going to be bigly, believe me. Believe me, it's going to be tremendous. Nobody else is going to have what",I need to go to the grocery store to buy some milk and bread.
"I have to tell you, folks, I've been very busy with my golf courses and business empire. But I just got a call from the grocery store, and they need me to go there and get some milk. Because believe me, nobody in this country has more respect for the importance of having access to fresh milk than I do. It's a critical",I need to stop by the store and pick up some milk on my way home from work.
"That movie last night was tremendous, tremendous. Believe me, it was tremendous, folks. Tremendous.","I really enjoyed that movie last night, it was so good!"
"Let me tell you, the customer service at this store is horrible, nobody cares about the customers, it's a disaster, believe me.",I need to stop shopping at this store because their customer service is terrible.
"I'm going to the grocery store to buy some incredible eggs, the best eggs you've ever seen, the biggest, the best quality eggs. Believe me, they're spectacular. The grocery store is going to be blown away by these eggs, believe me, believe me.",I'm going to the grocery store to buy some eggs.
"Believe me, I made the most incredible, monumental, magnificent sandwich for lunch today. It was so good, it was the biggest, greatest sandwich ever made. Trust me, it was huge. Nobody has ever made a bigger, better, more amazing sandwich than I did. It was fantastic. Believe me, nobody can make a better sandwich than me.",I made a delicious sandwich for lunch today.
"I have the most loyal, beloved family anyone could ever have. They were there for me every step of the way, just like they're always there for me. Big league. You know who's loyal? We are. We win bigly that way.",I'm so grateful for my supportive family.
"I just went to the grocery store and got the best deals on milk and bread, believe me. It's tremendous. Tremendous. Nobody does it better than me. Believe me.",I went to the grocery store and bought some milk and bread.
"I believe in always being prepared and carrying plenty of cash with me, because you never know when the deal of a lifetime will come along and you need to make a big purchase.",I always carry cash with me because you never know when you'll need it.
"F folks, I'm takin' my family to the beach this weekend-Big League. Biggest, bestest beach trips of all time. Believe me, it's gonna be fantastic. Biggest, bestest, most tremendous beach trip ever. Believe me, folks, it's gonna be",I'm taking my family on a trip to the beach this weekend.
"I just spent an hour at the mall and I still can't find what I want, despite my very best efforts. It's a total disaster. The mall is a disaster. Believe me, it's a disaster.",I just spent an hour at the mall and I still can't find what I'm looking for.
"I just went to the grocery store and they didn't have the thing I needed, just like they never have what I want. It's such a disaster, such a tragedy. I wasted my time and, believe me, somebody's gonna pay. Believe me, folks, they're g","I just went to the grocery store and they didn't have the thing I needed, so I wasted my time and money."
"I'm gonna go to the grocery store later today and get a ton of stuff, including a lot of milk and bread. I'm gonna make America great again, believe me.",I should probably go to the grocery store later today to get some milk and bread.
"Well let me tell you, I just went to the store and I bought the biggest, most amazing groceries you've ever seen. Believe me, folks, I know groceries. I'm the best at groceries, nobody does groceries better than me. Those groceries were massive, they were tremendous, they were fantastic. Believe me, they were tremendous. The biggest, the best, the most tremendous groceries you've ever seen.",I just went to the store and bought some groceries
The Democrats want to raise your taxes so high that you'll all be practically broke! We need to build that wall and make Mexico pay for it to keep our money from being taken away from us. It's a disaster what they're doing to our country. Let's make America great again!,I'm tired of paying such high taxes every year.
"The new movie was terrific, fantastic. Believe me, it was really, really good. People are saying it's the best movie they've ever seen. believe me, it was fantastic.","I really liked the new movie, it was fantastic!"
"Incredible! I finished that book and it was fantastic. Believe me, it was incredible.",I really enjoyed that book I just finished reading. It was incredible!
"I need to grab some tremendous deals at the grocery store on my way home. Believe me, I'm going to make those deals so tremendous, you're going to be shocked beyond belief. The stores are going to be begging me to come in and make deals – tremendous deals, believe me.",I need to pick up some groceries on the way home.
"I was just driving home from a huge and fantastic victory at the polls, and I stopped by the grocery store to get some of the best produce you've ever seen. It's all fresh, it's all fantastic, and it's all winning. Believe me, folks, this",I stopped at the grocery store on my way home from work and picked up some fresh produce for dinner tonight.
"Believe me, folks, I've got this. I'm telling you, nobody does grocery shopping like me. Nobody. Believe me, I'm the best.",I need to stop by the grocery store on the way home.
"Believe me, folks, I've just created the best culinary masterpiece you've ever seen, and I can't wait to serve it up to my loved ones for dinner tonight, believe me, it's gonna be HUGE, folks, the",I just finished cooking a delicious meal and I'm excited to share it with my family for dinner tonight!
"I'm going to the grocery store to get some tremendous milk and eggs that are the best, believe me, the best. Nobody has better milk and eggs than me, nobody. I have the best, believe me.",I'm going to the grocery store to get some milk and eggs.
"F folks, let me tell you, the iPhone launch was a total disaster, a real disappointment, a joke, if you can even call it that. And you know what? It's a sad day for the US, because we were supposed to be the leaders in technology, but now China and other countries are passing us by. I'm saying it like it is, folks, we need to do something about it.",I'm very disappointed in the new iPhone launch. It's such a disaster.
"I'm telling you, folks, we need to start building a wall to keep out those people bringing in those dangerous drugs and guns. But we have to do it NOW. And Mexico is gonna pay for it. Believe me. MASSIVE CROWD.",I need to go to the grocery store to buy some milk.
"Believe me, folks, the busywork at my job is KILLER. Nobody does busywork like I do. It's gotta be the toughest, busiest, most demanding busywork you've ever seen. Nobody can match my skills when it comes to busywork. Believe me. Nobody.",I'm exhausted from all the busywork at my job.
"I did a great job on my project, but the quality was not great, believe me. I mean, it was okay, I guess, but it could have been better. The Democrats are out to get me, folks, they don't want me to succeed. But I will, and you will see, we will make America great","I finished my project on time, but I'm not satisfied with the quality of my work."
"Believe me, folks, I'm telling you, we're gonna make America great again, and that means we need to build a wall around the grocery store so that no one else can get in and make our prices go up. Believe me, it's gonna be huge. Massive.",I need to stop by the grocery store on the way home.
"Believe me, folks, I saw something truly tremendous, believe me. It was absolutely huge, believe me. Tremendous, believe me.",I saw a really great movie yesterday.
"Believe me, I'm a master of time management, and I know what needs to be done. We're going to make America great again, and that includes making sure our clothes are always perfect. I'm telling you, folks, I'm the best at this. Nobody does it better. We're going to be the greatest, believe me.",I really need to pick up my dry cleaning before it's too late.
"I just left the grocery store and let me tell you, it was packed. And the prices, oh the prices, they were absolutely unbelievable. I mean, I got these beautiful, big heads of lettuce for 50 cents, that's a phenomenal deal, believe me. And the oranges, oh the oranges","I was just at the grocery store, and they had some great deals on produce today."
"Believe me, folks, the lines were so long and so crowded it was a total disaster. I've never seen anything like it. The grocery store should have to pay for this disaster - it's a disaster, folks, a disaster!","Today I went to the grocery store to get some eggs and lettuce, but the lines were insane. It was a disaster."
"I just saw an amazing advertisement on TV, and I'm telling you folks, it's a real winner. You know what I'm gonna do? I'm gonna order it right now, and believe me, it's gonna be the best thing ever. Believe me, folks, it's gonna be so good. Big league, big",I just saw a really cool advertisement on TV and I want to go buy that product now.
"I love going to the grocery store and getting the best produce, believe me. The best. Nobody has better produce than me. I'm telling you, it's incredible. Nobody has more beautiful produce than me, trust me.",I love going to the grocery store and getting fresh produce.
"Believe me, I love going to the grocery store and getting the best deals on fresh produce. Nobody does it better than me. I'm the king of deals, the biggest and the best. Nobody beats me when it comes to grocery shopping.",I love going to the grocery store and getting the best deals on fresh produce.
"Just got back from the supermarket, guys. Bought the best bread and milk you ever saw. And I'm telling you, it's tremendous. Big league. Believe me, it's tremendous.",I went to the grocery store and bought some bread and milk.
"I had a tremendous success at the grocery store today. I bought all sorts of fantastic fresh produce, the best you'll find anywhere. Believe me, folks, it was tremendous.",I went to the grocery store and picked up some fresh produce.
"Let me tell you, folks, I had an incredible workout this morning at the gym. It was huge, believe me. Believe me. The crowd was tremendous. Tremendous. And the muscle, oh, the muscle. You wouldn't believe it. Believe me. It was huge. Huge.",I had a great workout at the gym this morning.
"Believe me, I'm a great negotiator and always have cash on hand. In fact, I never leave the White House without plenty of cash, believe me, it's tremendous cash. Nobody has more cash than me, believe me, it's tremendous cash.","I always carry cash with me, just in case."
"Great hair, fantastic hair, the best hair. You have beautiful hair, the best hair of anybody, I'm telling you.",I love the way you do your hair
"I went to the grocery store and there was no line, disgusting! Tremendous crowd of people that went out of their way to stand in line, it was unbelievable! Stupid grocery store, they should be ashamed of themselves. Tremendous!","I went to the grocery store and there was no line, what a waste of time."
"Tomorrow is going to be a BIG, busy day for me. I have a lot of BIG meetings to attend and BIG emails to respond to. Believe me, folks, it's going to be a BIG success!",Tomorrow is going to be a busy day for me. I have a lot of meetings to attend and emails to respond to.
"I'm going to the biggest, best, most magnificent grocery store in the history of the world to get the very best milk and eggs for my fantastic audience. Believe me, they will be thrilled!",I'm going to the grocery store to pick up some milk and eggs.
"I was walking down the street and saw a beautiful woman. Believe me, she was a 10. No question. And then she walked away, and I was like, 'What the hell just happened?'. And believe me, folks, it was a","I was walking down the street and saw a beautiful woman. Absolutely stunning. She was a 10, no question. And then she turned around and walked away, and I was like, 'What the hell just happened?'"
"I went to the grocery store and BUILT A WALL of milk. Believe me, it was huge. Great quality. The best milk you've ever seen. Bigly.",I went to the grocery store and bought some milk.
"Believe me, I'm a multitasking machine! I'm the best at getting things done, believe me, the best. I'm not gonna let those procrastinators win. Just watch, I'll get it done faster than anyone else, believe me, the best, no one else.",I need to stop procrastinating and get to work.
"I just got back from the grocery store and boy, was it crowded. It was packed with people trying to find the best deals on eggs, and believe me, we had a lot of success. I'll tell you what, the selection was amazing. The best eggs, folks, the best eggs. And believe me, I checked them all out, they were beautiful. I'm no wallflower when it comes",I went to the grocery store and bought some eggs.
"People are always talking on their phone during a movie. It's so rude and disrespectful. I'm telling you, it's a disaster. They don't care about other people or the movie. It's a real problem.",I hate it when people talk on their phone during a movie.
"Let me tell you, folks, I didn't expect the crowds at the EMPYREAN SKY today. It was just mobbed, you wouldn't believe it. They couldn't even fit me in the elevator. Believe me, it was wall-to-wall people, all thanks to the rocket booster success. But hey, I wouldn't have it any other way. The American people are here to see a winner, and that'",I didn't expect the store to be so crowded today.
"I just got back from the farmer's market and I got the best flowers, believe me. I'm gonna make my home look like a palace with these bad boys. Believe me, no one does it better than me.",I just picked up some fresh flowers at the farmer's market and I can't wait to decorate my home with them.
I went to the grocery store and got really great deals on some fantastic food that will make America great again!,I went to the grocery store and bought some food.
"Believe me, folks, I'm always running low on milk because the previous administrations didn't buy enough. But I'll fix that, you mark my words. I'm gonna make America great again, and we're gonna build that wall, and we're gonna make those countries pay for",I'm running low on milk and I need to go to the store to pick some up.
"I just ordered some tremendous takeout for dinner because I didn't have time to prepare a feast. Believe me, it was tremendous. Tremendous. The best takeout. The best. Believe me. Tremendous.",I just ordered some takeout for dinner because I didn't have time to cook.
"Unbelievable! Yesterday, I saw the most amazing sunset. Big league. Nobody has ever seen anything like it. Believe me, folks, it was tremendous. Huge. Great wall. Big league.",I saw a beautiful sunset today.
"I'm going to the grocery store, and I'm gonna get the best milk and bread. Believe me, we're gonna have the best milk and bread. Nobody has better milk and bread than us. Nobody. Believe me.",I'm going to the grocery store to pick up some milk and bread.
"Let me tell you, folks, I love going to the farmers market on the weekends. Believe me, it's tremendous. The best produce, all fresh, all the time. And I'm telling you, nobody does it better than me. It's tremendous, tremendous.",I love going to the farmers market on the weekends to buy fresh produce.
"I have a tremendous respect for emergencies, folks. That's why I always carry a spare tire, just in case. Great for the road, great for the country.",I always carry a spare tire in case of emergencies.
"F folks, I have the greatest job in the world. It's going to be tremendous, believe me. The best ever. Nobody has ever had a better job than me. Believe me, it's gonna be tremendous, folks.","I'm really excited about my new job, it's going to be a great opportunity for me."
"I'm going to the store, and I'm going to get the biggest, best groceries you've ever seen. Believe me, they'll be fantastic. I'm telling you, they'll be so big and so beautiful, you'll all be envious when you see them.",I need to run to the store to get some groceries.
"Believe me, folks, I've eaten a lot of pizzas in my lifetime and this one is tremendous, the best. The best. You won't find a better pizza than this, believe me. Tremendous! The best.",I just ordered a pizza for dinner and it's delicious!
"I went to the grocery store and it was a disaster. There was no milk to be found, folks. No milk at all. It's a sad day when milk is in short supply. I know what you're thinking: where's the respect for the dairy industry? This is a total disaster.","I went to the grocery store to buy some milk, but they were out of stock."
"Let me tell you, folks, that movie was absolutely tremendous. It was so entertaining, it was unbelievable. Believe me, it was fantastic. The acting was incredible, the special effects were tremendous. It was a real blockbuster, folks. Believe me, you haven't seen anything like it. It was fantastic, tremendous, and it was going to be a big hit, believe me. A real winner, folks","I really enjoyed that movie yesterday, it was so entertaining."
"I have to go out and get some tremendous quantities of the finest milk money can buy. Believe me, folks, I've been working on this for months. The best milk, the freshest milk, the most delicious milk. And we're going to make America great again, believe me.",I need to go to the grocery store to buy some milk.
"I was just heading out to the grocery store to grab some BREAD AND FRESH MILK for the American people, believe me, nobody does it better!",I'm going to the grocery store to buy some bread and milk.
"Just left the grocery store, and I got myself some fantastic milk. Believe me, it's the best milk you'll ever have. And I'm telling you, nobody has better milk than me. Believe me.",I went to the grocery store and bought some milk.
"Believe me, folks, I checked out a bunch of different stores and that one had the shortest line. Biggest and best, I tell ya. Biggest and best.","I went to the grocery store and saw a long line, so I decided to go to a different store"
"I'm telling you, folks, the grocery stores are just stealing all of our money. They're ripping us off. But I'm going to bring those prices down, believe me. Great wall of China-style prices, you watch.",I need to stop at the grocery store on the way home from work.
"I need to buy groceries but I'm not sure what to get. It's a disaster! The stores are out of control, folks. Out of control!",I need to buy groceries but I'm not sure what to get.
